,artist,song,link,text
18298,Roxy Music,True To Life,/r/roxy+music/true+to+life_20118883.html,So it gets to seven   And I think of nothing   But living in darkness   And the diamond lady   Well she's not telling   I don't even know her name      It's amazing   Times have changed   In days of old   Imagination'd leave you standing   Out in the could   Dancing city   Now you're talking      But where's your soul   You've a thousand faces   I'll never know   There are complications   And compensations   If you know the game   Agitated in Xenon nightly   I'll take you home again      Travel way downtown   In search of nothing   But the sky at night   And the diamond lady   Well she's not talking   But that's alright   So I turn the pages   And tell the story   From town to town      People tell me   Be determined   Poor country boy   Too much luck   Means too much trouble   Much time alone   But arm in arm   With my seaside diamond   I'll soon be home  
19669,Tracy Chapman,Across The Lines,/t/tracy+chapman/across+the+lines_20140280.html,Across the lines   Who would dare to go   Under the bridge   Over the tracks   That separates whites from blacks      Choose sides   Or run for your life   Tonight the riots begin   On the back streets of America   They kill the dream of America      Little black girl gets assaulted   Ain't no reason why   Newspaper prints the story   And racist tempers fly   Next day it starts a riot   Knives and guns are drawn   Two black boys get killed   One white boy goes blind      Little black girl gets assaulted   Don't no one know her name   Lots of people hurt and angry   She's the one to blame  
22348,Zac Brown Band,As She's Walking Away,/z/zac+brown+band/as+shes+walking+away_20887804.html,"We never spoke a word   But every thought she had I heard from across the room      If we were standing face to face   I couldn't find the words to say   Give me one more move      I don't even know her name   I guess foolish pride's to blame      Now I'm falling in love as she's walking away   And my heart won't tell my mind to tell my mouth what it should say   May have lost this battle, live to fight another day   Now I'm falling in love   As she's walking away      Wise man next to me did say   'Bout the one that got away   Son I missed my chance      Don't you let regret take place   Of the dreams you have to chase   Ask her to dance, go on son      You might fall down on your face   Roll the dice and have some faith      And don't be falling in love as she's walking away   When your heart won't tell your mind to tell your mouth what it should say   May have lost this battle, live to fight another day   Don't be falling in love   As she's walking away      You might fall down on your face   Roll the dice and have some faith      And don't be falling in love as she's walking away   When your heart won't tell your mind to tell your mouth what it should say   May have lost this battle, live to fight another day   Don't be falling, falling, falling in love   As she's walking away  "
22865,Ace Of Base,Que Sera,/a/ace+of+base/que+sera_20003633.html,"They call to her from across the street   But they don't know her name   She's in the wrong place at the wrong time   Who's to blame      She wonders how to change   the life she's living   She wonders if she'll ever get away   As far as I can see, the writing's on the wall      There's no return, we live, we learn   The game goes on and on and   Que sera   I like you but I don't      Really want to take you home   Que sera   It's a lonely life   Living on my own      Que sera   What's it gonna be, what's it gonna be   She left her home when she was seventeen   Simply disappeared in the rain      Those were bad times so it was high time   She knows she'd do it again   She wonders how   she's gonna make a living      She wonders if she'll make it through the day   As far as I can see, I've seen it all before   A lonely girl in a big bad world   The game goes on and on and      Que sera  "
23877,America,Mirror To Mirror,/a/america/mirror+to+mirror_20007207.html,"I haven't seen forever   Don't even know her name   I call on dreams and other schemes   To try and win that game   Now that it's over, darling   Look into my eyes   Seein' your own reflection   Much to your surprise   We're seein' mirror to mirror   Face to face   We look but we cannot see   Mirror to mirror   Seems to trace   What happened to you and me   And though we tried in earnest   The distant silence yells   We call on wings and other things   To try and break that spell   Now that it's over, darling   Truth in the common cause   We stare at our own indifference   By seeing the other's flaws   We're seein' mirror to mirror   Face to face   We look but we cannot see   Mirror to mirror   Seems to trace   What happened to you and me   Oh, mirror to mirror, mirror to mirror   Mirror to mirror, what's come over me   As we look inside, there's nowhere to turn   There's nowhere to hide   Now that it's over, darling   Look into my eyes   Seein' your own reflection   Much to your surprise   We're seein' mirror to mirror   Face to face   We look but we cannot see   Mirror to mirror   Seems to trace   What happened to you and me   Oh, mirror to mirror, mirror to mirror   Mirror to mirror, what's come over me   Mirror to mirror, mirror to mirror   Mirror to mirror, what's come over me    "
24984,Bee Gees,"December '63, Oh What A Night",/b/bee+gees/december+63+oh+what+a+night_20543249.html,"Oh what a night!   Late December back in sixty-three.   What a very special time for me.   I'll remember what a night.      Oh what a night!   No I didn't even know her name,   But I'm never gonna be the same.   What a lady, what a night!      Oh I, I had a funny feeling when she walked into the room.   And I, as I recall it ended much too soon.   Oh what a night!      Hypnotized and mesmorizing me.   She was everything I dreamed she'd be.   Sweet surender, what a night!      I felt the rush at the rolling balls of thunder.   Spinning my head around and taking my body under,   Oh what a night!      Why'd it take so long to see the light.   Seemed so wrong, but now it seemed so right.   What a lady, what a night!  "
26377,Bread,Didn't Even Know Her Name,/b/bread/didnt+even+know+her+name_20024063.html,Should've kept on goin'   But the hurt was showing   When she looked at me that way   I had to stay   I knew I had to get to know her name   The town was weary   She was to marry   Someone planned years ago   Her eyes said no   I knew I had to get to know her name   And when I got her all alone   She told me through the tears   That she didn't really loved him   But he'd waited for so many years   She said she couldn't break his heart   She'd rather live with hers   And though I told her she should leave with me   She just could not believe with me   Should've kept on goin'   Better that than knowin'   That he made her his wife   He took her life   You know I didn't even know her name   You know I didn't even know her name    
28856,David Allan Coe,Loneliness In Ruby's Eyes,/d/david+allan+coe/loneliness+in+rubys+eyes_20585967.html,They say she came all the way from Dallas   But I see more than Texas in the hard times on her face   And every song she sings brings back a hundred thousand memories   Of another girl another time another place   She does not have the body of the woman I once loved   But she's still the girl that I once idolized   And I swear I see a little bit of every girl I've known   In the loneliness of Ruby's eyes in the loneliness of Ruby's eyes      Kin folks say she's had a lot of lovers   But love don't leave a woman filled with shame   And I've heard tell she had a child in Dallas   And all the men in Houston know her name   She does not have the body   In the loneliness of Ruby's eyes in the loneliness of Ruby's eyes   In the loneliness of Ruby's eyes  
30162,Donna Summer,Lady Of The Night,/d/donna+summer/lady+of+the+night_20042282.html,They call her the lady of the night   She's a woman of the world   And easy-living girl with love for sale      That's what they call her the lady of the night   No one seems to know her name   And even less about the place   From where she came      Every evening when the night is close at hand   You'll find the lady on the rue d'avignon   In a half lit hotel doorway the lady advertises warmly   It's just a job but she'll do the best she can      Don't try to change this lady of the night   She's a lot like you and me   And less than what she seems to be      (she is the lady of the night)   And easy-living girl   (she is the lady of the night)   She's a woman of the world   (she is the lady of the night)   With lots of loving for sale   (she is the lady of the night)   Lady lady of the night      Round here they call her the lady of the night   In a perfume hotel room   Shadows dance upon the wall and fate at dawn   She's no beginner this lady of the night   Never try that funny stuff   'cause lady can be tough   Be warned!      (she is the lady of the night)   She's a lot like you and me   (she is the lady of the night)   And never just what she seems   (she is the lady of the night)   No one seems to know her name   (she is the lady of the night)   Or the place from where she came  
30803,Eddie Cochran,Market Place,/e/eddie+cochran/market+place_20773853.html,"Walkin' to the market place in New Orleans   I saw the cutest little queen   A pair of eyes I couldn't miss   Lips that were beggin' to be kissed      I went flyin' out in space   When I saw that pretty face   And I found that warm embrace   At the market place, market place      I didn't even know her name and didn't care   I was glad I took a walk and saw her there   In my arms she began to dance   That was the start of a big romance      Now that we are married up and settled down   I like to sit and think of ol' New Orleans town   The Mardigras, the happy fun   Thankful for that good love I won  "
