,artist,song,link,text
5615,Everclear,Loser Makes Good,/e/everclear/loser+makes+good_20052106.html,"I hate waking up it means that I have to die again tonight   35 years old and I'm still sleeping outside   Yeah I think I know your face I don't want to to know your name   I won't give in I'm not like that   I won't give in      You say it's Christmas Eve that don't mean nothing to me   Just another fucked up day just another waste of time   You wonder why I live like this man you just won't understand   I won't give in I'm not like that   Yeah, I won't give in      You smart ass college fuck   Act like you think you're tough   I was just like you   More pride than you could know   Think you pity me      I'll kick your ass if you pity me   I won't give in I'm not like that   No, I won't give in to you   Just go away      You college boy act like you think you're tall   I won't give in I'm not like that   No, I won't give in  "
5859,Faces,Stay With Me,/f/faces/stay+with+me_20052396.html,"In the morning   Don't say you love me   'Cause I'll only kick you out of the door      I know your name is Rita   'Cause your perfume smelling sweeter   Since when I saw you down on the floor   guitar      Won't need to much persuading   I don't mean to sound degrading   But with a face like that   You got nothing to laugh about      Red lips hair and fingernails   I hear your a mean old Jezebel   Lets go up stairs and read my tarot cards      Stay with me   Stay with me   For tonight you better stay with me      Stay with me   Stay with me   For tonight you better stay with me      So in the morning   Please don't say you love me   'Cause you know I'll only kick you out the door      Yea I'll pay your cab fare home   You can even use my best cologne   Just don't be here in the morning when I wake up      Stay with me   Stay with me   'Cause tonight you better stay with me   Sit down, get up, get down      Stay with me   Stay with me   Cause tonight your going stay with me   Hey, whats your name again   Oh no, get down  "
6177,Fleetwood Mac,Merry Go Round,/f/fleetwood+mac/merry+go+round_20054344.html,"When I first met you baby, I didn't even know your name   Yes, when I first met you babe, I didn't even know your name   I was feeling so low on the ground   Bad luck and evil women was to blame      I never realized just how sweet and kind one woman can be   Yes, I never realized, people, just how sweet and kind one woman can be   Yes, but when I looked in your eyes   Yeah, I knew true love had come to me   Yeah      Take my hand, baby, now, you hold it tight and don't let go   Take my hand, now, hold it tight and don't let go   Yes, 'cause our love is like a merry go round   And 'round forever it's gonna go  "
6499,Gary Numan,Basic J,/g/gary+numan/basic+j_20058530.html,"Jo the waiter spilling wine   Over some ex-friends of mine   In zero cafe number 9   What you gonna say this time      Basic J, say, are you new here      New ones walking down the stairs   Pretty young thing but no-one cares   Jo the waiter drops the tray   Do you always know your name      Jo the waiter smiled at me   Jo the waiter's company   I keep him in a book by my fireside   A drama is my perfect bride    "
6876,Glee,I Kissed A Girl,/g/glee/i+kissed+a+girl_20989176.html,"This was never the way I planned   Not my intention   I got some brave, drink in hand   Lost my discretion      It's not what, I'm used to   Just wanna try you on   I'm curious for you   Caught my attention      I kissed a girl and I liked it   The taste of her cherry Chapstick   I kissed a girl just to try it   I hope my boyfriend don't mind it   It felt so wrong, it felt so right   Don't mean I'm in love tonight   I kissed a girl and I like it, I liked it      No I don't even know your name   It doesn't matter   You're my experimental game   Just human nature      It's not what, good girls do   Not how they should behave   My head gets, so confused hard to obey      I kissed a girl and I liked it   The taste of her cherry Chapstick   I kissed a girl just to try it   I hope my boyfriend don't mind it   It felt so wrong, it felt so right   Don't mean I'm in love tonight   I kissed a girl and I like it, I liked it      Us girls we are so magical   Soft skin, red lips, so kissable   Hard to resist, so touchable   Too good to, deny it   Ain't no big deal, it's innocent      I kissed a girl and I liked it   The taste of her cherry Chapstick   I kissed a girl just to try it   I hope my boyfriend don't mind it   It felt so wrong, it felt so right   Don't mean I'm in love tonight   I kissed a girl and I like it, I liked it  "
7197,Grease,(Love Will) Turn Back The Hands Of Time,/g/grease/love+will+turn+back+the+hands+of+time_20581280.html,"[Stephanie]   No more midnight rides with you   No more secret rendezvous   I'm gonna miss all the things we'll never do   I just can't believe you left me here alone   How in this world can I make it on my own      [Michael]   Remember I love you, I won't be far away   Baby, close your eyes and think of yesterday   And we'll be there together      [Both]   Love will turn back the hands of time   Whoa oh turn back   Whoa oh turn back the hands of time      [Stephanie]   Whoa oh   Baby don't you know it's hard to let you go      [Michael]   Save all your dreams and keep me in your heart      [Stephanie]   It hurts to say goodbye no matter how I try      [Michael]   Love will survive even though we have to part      [Michael]   Stephanie please don't cry.   [Stephanie]   Oh, it all seems so unfair, just when I found you I lost you.   [Michael]   That doesn't matter now,   The only thing that matters is the time we had together.   [Stephanie]   But I don't even know your name.   [Michael]   The only thing you have to know is that I love you   And you're the only one that can keep our love alive.   So Stephanie, don't forget me.   [Stephanie]   I promise.      [Michael]   Remember I love you, you won't be far away      [Stephanie]   I just close my eyes, and bring back yesterday   [Both]   And we'll be there together   Love will turn back the hands of time   Whoa oh turn back   Whoa oh turn back the hands of time   Whoa oh turn back   Whoa oh turn back the hands of time      We'll turn back  "
8024,Howard Jones,Let The Spirit Carry Me,/h/howard+jones/let+the+spirit+carry+me_20066228.html,"People come together it's time for a union   C'mon c'mon c'mon lets do it right   When the darkness takes control and we lose the reason   C'mon c'mon c'mon lets see the light   Well let the faith shine down on me and let the spirit carry me   To a place where the stars don't know your name   To a town where the children fly   To a city where love comes naturally   In a country where devils die   I want to be there one more time   When my brain is on the floor I need you to help me   C'mon c'mon c'mon don't watch me die   And a friend is someone that you allow to help you   Carry me back carry me back hear me cry   Well let the faith shine down on me and let the spirit carry me   And I dreamt of a love that knows no gain   And our guilt didn't paralyse   Men and women and children can walk free   In the world where our devils die   I want to be there one more time   I want to be there one more time, I want to be there one more time   To a place where the stars don't know you're name   To a town where the children fly   To a city where love comes naturally   In a country where devils die   I want to be there one more time   Well let the faith shine down on me and let the spirit carry me    "
8188,Iggy Pop,Eggs On Plate,/i/iggy+pop/eggs+on+plate_20066989.html,"Oh Lord I got eggs on my plate   I got em Damn right   I got four walls I live here   Hey I live here   Now this big Jew-man uptown   He told me one day   He said, boy      You look at that house On the hill   That cost a hundred thousand dollars   You could be up there   You know what?   I'll put you on the hit parade   Everybody will know your name   Iggy      But man Solomon   Who does my name belong to then?   What have I got? Four walls   What have I got? Four walls   I thank you Lord   I thank you Lord above this orange carpet   And the ceiling above it   Who left Murph the Surf On my ceiling?   Iggy      Now here we go boys   Four walls Four walls   Here I go      I'm looking for love again   I'm looking for love   I'm running from friend to friend   I'm looking for love in the wine   I'm looking for love   In anybody I can find      Thank you God   For these four walls I love   But are they secure?   Heh God! Are you above?   Then tell me who let that fucking door half open?   Oh Lord I got something   I'll tell you what I got, boys, I got this   Four walls, Three walls,   Two walls, Four walls   But they can't talk Four walls   But they can't talk Four walls   But they can't talk Four walls      But if they could talk What would they say?   They'd say Nash the slash   Why did you leave your sticker on my   Forty-two dollar and fifty cent suite   In James Dean's head bed?  "
8933,Jackson Browne,You Love The Thunder,/j/jackson+browne/you+love+the+thunder_20068639.html,"When you look over your shoulder   And you see the life that you've left behind   When you think it over do you ever wonder?   What it is that holds your life so close to mine   You love the thunder and you love the rain   What you see revealed within the anger is worth the pain   And before the lightning fades and you surrender   You've got a second to look at the dark side of the man   You love the thunder and you love the rain   You know your hunger like you know your name   And I know you wonder how you ever came   To be a woman in love with a man in search of the flame   Draw the shade and light the fire   For the night that holds you and calls your name   And just like your lover, knows your desire   And the crazy longing that time will never tame   You love the thunder and you love the rain   You know your hunger like you know your name   I got your number if it?s still the same   You can dream   But you can never go back the way you came    "
9139,James Taylor,Slow Burning Love,/j/james+taylor/slow+burning+love_20069159.html,"It was a hot and sultry day somewhere in early September.   I don't hardly remember the day, just the way the sun beat down upon the bay, baby.   I did not even need to know your name,   It was, oh, so plain to see that you had eyes for me.   Halfway open, halfway closed, half-naked eyes for me, baby.      It was a slow burning love, a fair-weather love affair.   A slow burning, smoldering love for you and I.   And like the sun on the edge of the Western sky, it died.      Oh, the lights of the city were close at hand. I might just as well have been another man.   You might just as well have been another girl.   It might just as well have been another world.      It was a slow burning love, a fair-weather love affair.   A slow burning, smoldering love for you and I.   And like the sun on the edge of the Western sky, it died.      Oh, slow burning love. You were smoking up that day, some kind of hot...   It was a slow burning love, a fair-weather love affair.   A slow burning, smoldering love for you and I.   And like the sun on the edge of the Western sky, it died.  "
