,artist,song,link,text
9469,John Martyn,Father Time,/j/john+martyn/father+time_20823902.html,"I saw you, yesterday   Walking down my line   I says, I know you, just get away   Your name is Father Time      Time I hate, the time I love   Time I spent all over   Time I wasted, the time I spent   Time I've got to run away      I saw you, yesterday   Running down my track   I saw you just yesterday   I could feel you at my back      With that long black cloak and that sharp scythe   For cutting them all down   Your long black coat, a skull and a scythe   Cutting them all through town      I saw you, just yesterday   You don't frighten me   I see you every day   You still don't frighten me      One day I'll go   And you'll have no choice but to come with me   The next day I'll come   The very next day I'll have to go, I tell you, say      You're no herb from my garden   You're no rosemary   And you're no sage   You know your name   I call you Father Time      I saw you yesterday   I can still see you now   You're living in my face, in my breakfast   I can see you now      You're just the time I wasted, the time I spent   You're the time I'm left to run with   What time is this   Even I make up time, I do, I'm the time      You can call yourself daddy   But you're no father of mine      Yes, I saw you yesterday   You didn't frighten me at all   I saw you just yesterday   You didn't frighten me at all      With that long cloak and that silly little skull   The stupid scythe and all your jive   I never could see you, I can't see you now   Not as long as I'm alive      One day, I'll go   The very next day you'll come   One day you'll come   The very next time I'll go      I know a friend of mine, a friend of mine was watching   Told me the time by the clock   I saw him last night, down by the graveyard   Holding on to a rock      I said, ""I saw you yesterday   I saw you, Father Time""   I said, ""Go away, go away, go away, go away, go away   I know you're Father Time, run it down now""      I said, ""Every minute, every second, every day of my life   I meet you in the mirror   Every time, look at each wrinkle   I know I've got a sheriff coming""      Sure I saw you, sure as time   Sure as clock, sure is fine   I know that mother's no father   'Cause they call him Father Time      Coming through the door with a black cloak   And a nasty sharp instrument   That nasty sharp instrument   That nasty sharp instrument      I won't go till I'm ready and you can't catch me   I won't go till I'm ready and you can't catch me   I won't go till I'm ready and you can't catch me   I won't go till I'm ready and you can't catch      I won't go till I'm ready and you can't catch me   I won't go till I'm ready and you can't catch me   I won't go till I'm ready and you can't catch me   I won't go till I'm ready  "
10152,Katy Perry,I Kissed A Girl,/k/katy+perry/i+kissed+a+girl_20736148.html,"This was never the way I planned   Not my intention   I got so brave, drink in hand   Lost my discretion   It's not what, I'm used to   Just wanna try you on   I'm curious for you   Caught my attention      [Chorus]   I kissed a girl and I liked it   The taste of her cherry chap stick   I kissed a girl just to try it   I hope my boyfriend don't mind it   It felt so wrong   It felt so right   Don't mean I'm in love tonight   I kissed a girl and I liked it   I liked it      No, I don't even know your name   It doesn't matter   You're my experimental game   Just human nature   It's not what, good girls do   Not how they should behave   My head gets so confused   Hard to obey      [Chorus]      Us girls we are so magical   Soft skin, red lips, so kissable   Hard to resist so touchable   Too good to deny it   Ain't no big deal, it's innocent      [Chorus]  "
10241,Kelly Clarkson,Forever Part Of Me,/k/kelly+clarkson/forever+part+of+me_20621463.html,"I've been wonderin' if it's time   To say what's on my mind   'Cause I'm in the dark   What was in your heart      (What's in your heart)   I don't even know your name   But the thought of you remains   Suddenly my pulse is jumping   Do you feel the same      Talk it over with my friends   And I guess it all depends   How you really feel, but can you comprehend   You could be just around the corner now   Hoping this love is yet to be found      It's not too late to call my name   So don't you look the other way   Open your eyes and you'll see   My heart won't wait, don't hesitate   We got a chance, we've gotta take   It feels like you could be   Forever part of me      Can be right under my skin (right under my skin)   I don't know where to begin   Would I look the fool   Should I play it cool   Or jump right in      How am I supposed to know   Whether I should come or go   Think it's time we let our feelings show   We might let the moment just pass us by   Then it's gone in the blink of an eye      It's not too late to call my name   So don't you look the other way   Open your eyes and you'll see   My heart won't wait, don't hesitate   We got a chance we've gotta take   It feels like you could be   Forever part of me  "
10249,Kelly Clarkson,(Love Will) Turn Back The Hands Of Time,/k/kelly+clarkson/love+will+turn+back+the+hands+of+time_20571665.html,"[Kelly]   No more midnight rides with you   No more secret rendezvous   I'm gonna miss all the things we'll never do   I just can't believe you left me here alone   How in this world can I make it on my own      [Kalan]   Remember I love you, I won't be far away   Baby, close your eyes and think of yesterday   And we'll be there together   Love will turn back the hands of time   Whoa oh turn back   Whoa oh turn back the hands of time      [Kelly]   Whoa oh baby don't you know it's hard to let you go      [Kalan]   Save all your dreams and keep me in your heart      [Kelly]   It hurts to say goodbye no matter how I try      [Kalan]   Love will survive even though we have to part      [Spoken]      Stephanie please don't cry.   [Kelly]   Oh, it all seems so unfair, just when I found you I lost you.   [Kalan]   That doesn't matter now,   The only thing that matters is the time we had together.   [Kelly]   But I don't even know your name.   [Kalan]   The only thing you have to know is that I love you   And you're the only one that can keep our love alive.   So Stephanie, don't forget me.   Kelly:   I promise.      [Kalan]   Remember I love you, you won't be far away      [Kelly]   I just close my eyes, and bring back yesterday   Kelly and Kalan:   And we'll be there together   Love will turn back the hands of time   Whoa oh turn back   Whoa oh turn back the hands of time   Whoa oh turn back   Whoa oh turn back the hands of time      We'll turn back  "
10526,Kid Rock,Rock 'n' Roll,/k/kid+rock/rock+n+roll_10157388.html,"Break out the whiskey and a bottle of wine   Take your shirt off bitch, and chop me out a line   Dim the lights down low, turn up the stereo   Don't say a word, I already know      You've never done this before, but you feel like tryin', tryin', tryin', tryin'   I've done this plenty of times, and I know you're liein', you know I know,   Hey, hey      You want a shot so I will take aim   Don't even ask me if I know your name (say my name)   Don't look so shocked, do not be confused   I just want to shoot your soul full of rhythm and blues      Them boys been sellin' your lines, but you ain't been buyin', buyin'   But what I'm givin' is free, so it's well worth tryin'      Because I know you like to rock n roll   You like to rock n roll   I'll rock you baby all night long   Then I gots to roll      Ohhh, ohhh, ooh, ooh, ooh, ooh   Ohhh, ohhh      There's no one left here we can blame, yeah, yeah, yeah   It's a lonely walk of shame, I know, but first   We gonna rock n roll   Can you feel that, ohh, I can feel it   I said can you feel that, ohh, I can feel it   A little lower now, a little lower now   A little lower now, lower now      there's no one here left   We can blame   It's a lonely walk of shame   I know   We gonna rock-n-roll      Can you feel that   Can you feel that   You used to like to disco   Now you want to rock n roll      Bus is leavin' baby, we're pullin' out   Them Austin, Dallas, Houston girls are callin' us out   Girl dry them eyes, I'm not good at goodbyes   Tell all your friends I'm that type of guy      That'll bring out the woman that you've been hidin', hidin'   It's human nature to be what we've all been denyin'   Baby don't sell tickets to a player that's already playin', playin', playin'   Just be who you are, but understand what I'm sayin' (what you saying)      That everybody likes to rock n roll, they like to rock n roll   Rock n roll, they like to rock n roll   Rock n roll, they like to rock n roll   Love me baby all night long (rock me baby all night long, yeah, hmm)  "
10757,Kirk Franklin,The Last Jesus,/k/kirk+franklin/the+last+jesus_20685615.html,"I see you, I need you, but I don't know your name   I touch you, say I love you, but that's all you get for today   It's easy, so easy, to tell you it's gon' be okay   When I don't walk shoes, haven't been through what you been through   Instead I push you away   Sunday everyone looks like you   But if our lives are cold inside tell me what's the use      If I say I love Jesus, but you can't see my Jesus   My words are empty, if they can't see Jesus in me   No more excuses, I give myself away   Because I may be the only Jesus they see      Too busy, forgive me, I've got problems of my own   It's easier to say your help is on the way   But I was your help all along   We're shouting, we're dancing, but can the world see a change   Am I just too selfish to see, the love they need you put inside of me      If we say we love Jesus, but they can't see our Jesus   Tell me what's the use if they can't see Jesus in you and me   No more excuses, we give it all away   Because we may be the only Jesus they see      If I am your hands and Your feet, and if your church is built inside of me   Where did we go wrong, we been here too long, we can't see your face anymore   It's not the same anymore      Have mercy on us Jesus, please forgive us Jesus   I lost my purpose, if they can't see You in me   See I lied too long, and I change it all today   Because I may be, because I may be      The only Jesus they see, the only Jesus they see, the only Jesus they see  "
11528,Lil Wayne,Abortion,/l/lil+wayne/abortion_20980618.html,"I see you with your palms in your pants   But me, me, see me, I got the world in my hands   I make it spin on my finger, I'm a critical thinker   I'm a hell of a smoker, and a bit of a drinker      I see you with your palms in your pants   But me, me, see me, I got the world in my hands   I make it spin on my finger, I'm a critical thinker   I'm a hell of a smoker, and a bit of a drinker      I know your name, yeah   Your name is unimportant   We in the belly of the beast   And she thinking 'bout abortion      I woke up this morning, dick rock hard   Ashed my blunt in my Grammy Award   You can save your bullshit on your memory card   If this real nigga business, then you niggas unemployed   Jumped on the celly, called Machiavelli   He says he was gravy, I say I was jelly   Looked in the mirror, said ""You's an ill nigga""   Then I ran to the money like track and field nigga   Now I think I'll have me a coffee with six sugars   In a world full of ass-kissers and dick pullers   I'm tryna walk a straight line but the line crooked   I'm shooting for the stars, astronauts dodge bullets   Yeah, I bought a brand new attitude   The haters music to my ears, I got my dancin' shoes   Sometimes we question shit that there is no answer to   But I just built a house on ""I don't give a fuck"" Avenue      I see you with your palms in your pants   But me, me, see me, I got the world in my hands   I make it spin on my finger, I'm a critical thinker   I'm a hell of a smoker, and a bit of a drinker      I know your name, yeah   Your name is unimportant   We in the belly of the beast   And she thinking 'bout abortion      Down on the ceiling, looking up at the bed   Life is a gamble better check the point spread   And when life sucks, I just enjoy the head   I'm so sick of these niggas, I need meds   Smoking on a hallelujah, thank you Jesus   Help me focus on the future and not the previous   Double R, I'm a rebel with a reason   Sometimes you gotta fight the devil with a demon   Blood is in the streets and it is up to my knees   Underground shit, I see myself as a seed   Living in the glass, and everybody's looking   But how can you get the picture, if you don't know who took it?   This current affairs, but who the hell cares?   Everybody's fighting over positions, musical chairs   On the road to redemption, go on and use a few stairs   I'm just fucking ready so I come prepared yeah      I know your name, yeah   Your name is unimportant   We in the belly of the beast   And she thinking 'bout abortion damn      And the rockets red glare, the bombs bursting in air   Life is a roller coaster, but still unfair   A blessing in disguise is right before our eyes   But since it is in disguise, we don't know that it's there      And I see you with your palms in your pants   But me, me, see me, I got the world in my hands   I make it spin on my finger, I'm a critical thinker   I'm a hell of a smoker, and a bit of a drinker      I know your name  "
11729,Lionel Richie,Face In The Crowd,/l/lionel+richie/face+in+the+crowd_20751939.html,"I'm just a face in the crowd   You probably don't know me as I don't stand out   And I'm sure your heart doesn't beat for me, no      And when you're cold and lonely there are not my arms   You long to feel around you to keep you safe and warm   No I'm just a face in the crowd you can't see      Save a little love for me   Save a little love for me yeah   Save a little love for me yeah yeah   And I will save my love for you   My face in the crowd      Don't know your name, don't know mine   Yet I'm wearing all initials round this heart of mine   I don't need no proof to know that you are there, yeah      Hey, my heart is strong and my wings are wide   I'm true to all my colors and I wear them all with pride   I am your face, the face in the crowd      So save a little love for me   Save a little love for me yeah   Save a little love for me yeah yeah   Cause I'll save my love for you   My face in the crowd      In the twilight sometimes we meet   Just before we wake or as we fall asleep   I still can't see your face and I know you can't see mine   But I can feel your heart beat, you can hear my voice   You touch my soul and my soul touches yours      We make a promise somewhere down the line   Somewhere down the line      So save a little love for me   Save a little love for me yeah   Save a little love for me yeah yeah   And I'll save my love for you   All my love, my love   My face in the crowd      Don't know the color of your skin but I felt the love that lies within   I'm sure, I know without a doubt I'll find your face in the crowd   I'll never let this feeling slide no world can put my faith aside   I'm sure, I know without a doubt I'll find your face in the crowd  "
11958,Loretta Lynn,Home You're Tearin' Down,/l/loretta+lynn/the+home+youre+tearin+down_20216185.html,I don't know your name I wouldn't know your face   But you're right with the one I love out there someplace   You have an invitation be free to come around   Come over anytime and see the home you're tearin' down   Once some happy faces would have met you at the door   But since their daddy's gone so much they don't smile anymore   There's shattered parts of broken hearts just scattered all around   Come over anytime and see the home you're tearin' down   [ steel ]   I'll dry all my tears and have the coffee hot   Cause I can't sleep a wink no more time's all I've got   You see the price I'm payin' for happiness you've found   Come over anytime and see the home you're tearin' down   You've told how much you loved him you can surely tell me too   I'd like to know just what you've done to make him turn to you   I swallow pride and hear you sigh if you'll just come around   Come over anytime and see the home you're tearin' down          
12601,Matt Redman,God Of Our Yesterdays,/m/matt+redman/god+of+our+yesterdays_21027992.html,"When we were in the darkest night   And wondered if our eyes would ever see the light   You were there, Lord   When we were in the stormy gale   And wondered if we'd ever live in peace again   You were there, Lord   You were there in the struggle   You were there in the fight   You were there all the time      We praise You - the God of our yesterdays   We praise You - the God who is here today   We praise You - our God as tomorrow comes      So whatever lies ahead   Whatever roads our grateful hearts will come to tread   You'll be there, Lord   We will fix our eyes on You   And know that there is grace enough to see us through   You'll be there, Lord   You'll be there in the struggle   You'll be there in the fight   You'll be there all the time      We praise You - the God of our yesterdays   We praise You - the God who is here today   We praise You - our God as tomorrow comes   We thank you - for grace in our yesterdays   We thank you - for peace in our hearts today   We thank you - our joy, as tomorrow comes   We will trust you, God      You're always closer than we know   Always more involved and in control   We will trust our lives to You -   The One who wasand is and is to come      Spoken   So we say we trust You Lord   We trust You with our lifes   You are so trust-worthy   Your word says ""those who know Your name trust in You""   And we know Your name   We know that You are good   You are gracious   You are kind   You are wise   You are in control   You never let go      Yesterday, today, forever   You are the same   You never change   You never fail   You never faint      We can trust You   We can trust You  "
13350,'n Sync,Falling,/n/n+sync/falling_20097362.html,"Yeah yeah yeah yeah   Oh      I don't know how   I don't know why   But girl it seems   You've touched my life   Your in my dreams   Your in my heart   I call myself   A miracle   Something strange has come over me   A raging wind   Across my seas   And girl you know that your eyes are to blame   What am I supposed to do   If I can't get over you   I come to find that you don't feel the same      Cause I'm falling, falling   Girl I'm falling for you   And I pray your falling too   I've been falling, falling   Every since the moment   I laid eyes on you      I lose my step   I lose my ground   I lose myself   When you're around   I'm holding on   For my life   To keep from drowning in your eyes   Girl what have you done to me   To make me fall so desperately   To think that I don't even know your name   How am I supposed to live   If I can't get over this   And you decide that you don't feel the same      Cause I'm falling, falling   Girl I'm falling for you   And I pray your falling too   I've been falling, falling   Will you stay home   Will you go   Heaven knows what my future holds   Questions linger on my mind   From daybreak to dark of night   I don't know what's come over me   Can't you see I'm      Cause I'm falling, falling   Girl I'm falling for you   And I pray your falling too   I've been falling, falling   Every since the moment   I laid eyes on you  "
13633,Ne-Yo,Get In,/n/ne+yo/get+in_21052281.html,"Energy is always from you   Uh uh   Says clear to me what you won't not do mhm mhm      Don't even know my name, baby you're not   I don't know...   Is the energy that makes you cool fr us to take   And ambition away      Chorus:   Uh get in into each other   Uh 'cause no one will feel get in   Uh get into one another   Uhh 'cause do what we really get in      And the music loud and the lights are low   Everybody is floating   How you're looking at me is how I know   The things are going   Don't wanna know your name   No one will tell you mine no no no   Let the energy say everything you need to say      2 x Chorus:   Uh get in into each other   Uh 'cause no one will feel get in   Uh get into one another   Uhh 'cause do what we really get in      I'm here on this walk here and now   We're so safe...  "
14362,Noa,The Eyes Of Love,/n/noa/the+eyes+of+love_21064143.html,"Little girl so young and tender   Braids are thrown upon her back   In the pages of her book the world is   White and black      She is wearing heavy glasses   Far from whom she dreamt to be   Little one, her father tells her   Close your eyes and see      The eyes of love   Don't know your name   Don't see the color of your skin   The eyes of love   Don't know where you've been   The eyes of love   Don't know your age   Don't see the lines you try to hide   The eyes of love   See only what's inside      Little girl has grown and flowered   Glasses tiny, in her eyes   She can see a lot more clearly   Still at night she cries      Never happy with the mirror   She will shun all who adore   Little one her father tells her   Open your door      The eyes of love   Don't know your name   Don't see the color of your skin   The eyes of love   Don't know where you've been   The eyes of love   Don't know your age   Don't see the lines you try to hide   The eyes of love   See only what's inside      The light shining bright from your heart  "
15320,Overkill,Hammerhead,/o/overkill/hammerhead_20215676.html,"Feeling the pain as it rips through my brain   Twisting what's left of my mind.   Tearing the same, this blood burning flame   Decaying all it can find.      Banging your head, stuck in the dread,   Leaving the posers behind.   Powers you see, the power you need   Nerves and bones we grind.      Hammer! Hammerhead.   Hammer! Hammerhead.      Knocked to the floor, left wanting more.   Scars decorate your face...   Playing the game, your never the same   The heat is melting this place      Emotion and fire!!, you never tire   Running a death metal race...   Knife in the back, guitar heart attack   Murder, rest my case.      Hammer! Hammerhead   Hammer! Hammerhead      No one can stop, our way to the top!   No one can get in the way   Neck snapping force, taking its course.   Keeping the dogs at bay.      Nailed to the wall, giving your all   We know that you ain't dead.   We know your name, know why you came   Your a fucking hammerhead.      Hammer! Hammerhead.   Hammer! Hammerhead!   Hammer! Hammerhead!...   Hammer! Hammer!  "
15327,Overkill,"Live Young, Die Free",/o/overkill/live+young+die+free_20250542.html,"The distant sound of mercy ringing in my eyes.   Far from the masses fades away.   Closed my eyes and waited for the pain to pass,   Recalled a little story heard today      Yeah, I'm feeling trapped,   So locked away,   Caught in a downward spiral   In, into the black,   I won't be back,   Yeah I'll be here a while      Don't need to see, your face.   Don't need to hear a word you say,   Don't need to know, your name,   Or why you're here      Shadows of the past appear in front of me.   Into the masses disappear.   The sound of silence ringing for a greater good,   To this point I can't believe my ears      Yeah, coming unwrapped,   Starting to fray.   Walking the final mile   In, into the black,   I won't back,   Choose to be here a while      Then I saw your face,   And I heard the words you said.   Then I recalled your name,   And why I'm here      When I look into your eyes an' saw how much you cried,   An' I had a revelation.   The pain wouldn't pass, the scars they would last,   Into God's creation.   Blessed secrets holding me   Then we all closed our eyes, an' laid down and sighed:      Live young die free!      A distant chime of mercy ringing one last time.   Into the masses turns to clay   Molded into what is now, the greater good   To close the story yesterday      Don't need to see your face,   Don't need to hear a word you say.   Don't need to know your name,   Or why you're here      Then a child of a liar put his hands into the fire,   Called it discontention.   And a man with the word repeated what he heard,   Led to mass confusion.   Blessed secrets, agony   Then the child closed his eyes and laid down and died.      Live young die free.  "
16549,Queen,It's Late,/q/queen/its+late_20112590.html,"You say you love me   And I hardly know your name   And if I say I love you in the candle light   There's no-one but myself to blame   But there's something inside   That's turning my mind away   Woh - how I could love you   If I could let you stay      It's late - and I'm bleeding deep inside   It's late - ooh, is it just my sickly pride?   Too late - even now the feeling seems to steal away   So late - though I'm crying I can't help but hear you say   It's late - It's late - It's late   But not too late      Mmm, yeah   The way you love me   Is the sweetest love around   But after all this time   The more I'm trying   The more I seem to let you down, yes   Now you tell me you're leaving   And I just can't believe it's true   Oh, you know that I can love you   Though I know I can't be true   Oh, you made me love you   Don't tell me that we're through      It's late - mmm, and it's driving me so mad   It's late - yes I know, but don't try and tell me that it's   Too late - save our love you can't turn out the light   So late - I've been wrong but I'll learn to be right   It's late - It's late - It's late   But not too late      Mm, I've been so long   You've been so long   We've been so long tryin' to work it out   I ain't got long   You ain't got long   We've gotta know what this life's all about, ooh   Tell me   Tryin' to work it out, yeah, ooh   Ooh too late, yeah, too late, much too late, aaah      You're staring at me   With suspicion in your eye   You say what game are you playing?   What's this that you're saying?   I know that I can't reply   If I take you tonight   Is it making my life a lie?   Oh you make me wonder   Did I live my life right?      It's late - ooh, but it's time to set me free   It's late - ooh, yes I know, but there's no way it has to be   Too late - so let the fire take our bodies this night   So late - let the waters take our guilt in the tide   It's late - It's late - It's late - It's late   It's late - It's late - It's late   Oh, It's all too late      Woah, woah, c'mon   Ooh m m m m late too late oh yeah   Waaa  "
16713,R. Kelly,Definition Of A Hotti,/r/r+kelly/definition+of+a+hotti_20181275.html,"Ah yeah   The definition of a hotti   R. Kelly is born into the 90's   You know what I'm saying   With the new shebang swing   The definition of a hotti   This track is going out to all the hotties out there   You know what I'm saying   To all the fellas that don't know what a hotti is   I'm here to define the definition   So check this out   Yo here's the definition of a hotti   A girl with Noxema skin and a V-8 body   She can relate with your wildest dreams   By wearing a short skirt or nice tight jeans   She'll put you in shock and clean you up with clorox   And then you'll say, damn, the hotti body is bare box   Lipstick shining, earings glistening   Yo listen to me as I kick the ballistics   Last night, I went to a club, to a club   To see if I could have myself some fun, yeah   All the ladies, standing on the wall, standing on the wall   I'm not leaving till I catch me one, till I catch me one   Cuties, all the cuties   So fine, so fine   We could spend some time   You are, you are   The one, the one for me   Can we have some fun?   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Don't too many fellas turn her on   But if you're kicking the funkies then her word is born   It's best to blend in with the program, yo   Play the same game and then say thanks ma'am   Some hotties like to pose but they warm you up   Just like a hot buttered roll   Some hotties don't carry a purse   Yeah it gets worse, check the second verse   Last night, I took her out, I took her out   To see what we could get into   What we could get into   She showed me what she was all about   Hotti go it going on   What's a man to do, what's a man to do   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hey Hotti   Definition of a Hotti   Hey Hotti   Come on yeah   Hotties play games   Like when you got with your fame   They sit back   Act like they don't even know your name   Playing it smooth until the very last minute   Drive up in a Benzo huh   Yeah they'll jump in it   And satisfy you like Snickers   You see them with their girlfriends   You can't get with 'em   The H O T T I is on a mission   Fellas, I hope you're listening   Yo yo, wait a minute man   Yo R. Kelly man, yo   I know what you're saying about the   Definition of a hotti and all man   But tell the public where all these hotties come from   Alright bet   I'ma break the track down right here   Let all the homies kick it off for me   You know what I'm saying?   New York   Got the hotties   LA   Yeah, they got the hotties   Detroit   They got the hotties   Chicago   Come on they got the hotties   Atlanta   They got the hotties   Philly   They got the hotties, yeah   Texas   They got the hotties   Boston   Come on they got the hotties   D see   They got the hotties   Miami   Come on they got the hotties   Denver   Yeah they got the hotties   Virginia   And they got the hotties   Cleveland   They got the hotties   Pheonix   Come on they got the hotties   Oakland   They got the hotties   Milwaukee   Yeah they got the hotties   St. Louis   They got the hotties   London   They got the hotties   Ah yeah this is going out to all the hotties   From across the world   You know what I'm saying   Just to let you know, I got your number   Peace and I'm out   The definition of a hotti   The definition of a hotti   The definition of a hotti   The definition of a hotti    "
16972,Randy Travis,A Place To Hang My Hat,/r/randy+travis/a+place+to+hang+my+hat_20291568.html,I can see it in your eyes   I can tell you think that I'm   Just some troubled soul who's lost   Out all alone      But I know each step I take   Brings me closer to the day   I'll be walking on them shining   Streets of gold      Cause I'm just passing through   Wearing worn out gloves and shoes   But it matters not just what a man has on   This old flesh and blood of mine   Is will on borrowed time   It's just a place to hang my hat   Til' I go home      Mister I don't know your name   But I thank you for your change   God bless you son   You must have Jesus in your life      A little help along the way   Never hurts too much these days   Even though I know in his hand   I'll be all right      Cause I'm just passing through   Wearing worn out gloves and shoes   But it matters not just what a man has on   This old flesh and blood of mine   Is will on borrowed time   It's just a place to hang my hat   Til' I go home      It's just a place to hang my hat   Til' I go home  
17674,Rihanna,Rush,/r/rihanna/rush_20409383.html,"De gal them rush to feel the ill touch   Gal them ball and gal them a scream   De think it a love but a lust,   That's why a bad gal beside is a must for I bust   Shes the angel of me conscious yo yo yo      Never thought that I could feel somethin' so strong   I wanna hold on to this moment before it's gone   I wanna hold your body close it's callin' to me   And when I look into your eyes I'm likin' what I see   Boy don't hold back on me   Just give me everything you got   I'm under lock and key   I know your gonna keep it hot      I catch a rush boy whenever we touch I go crazy   I'm feelin' you baby   I dream like this boy whenever we kiss I can't take it   You know I cant fake it      Yo yo yo   Well I'm back with the boys and I knowin' dat   Don't watch my face my gal you know I'm coming back   Most of me gal them slide off easy like a thunder clap   When I see you from the back you know me need all a dat yo yo yo      Don't even know your name   But this feels so right   It's like I known you boy for all of my life   Don't need to say a word   We both understand   And my eyes are tellin' you   Catch me if you can   I'm fallin' faster now   You know you got me where you want   To late I cant slow down   No way we're ever gonna stop      I catch a rush boy whenever we touch I go crazy   I'm feelin' you baby   I dream like this boy whenever we kiss I can't take it   You know I can't fake it      No I can't take it   No I can't take it   No no      My girl turn it around and cut it out   And come a little close so you feel what I'm 'bout here      No I can't take it   No I can't take it   No no      My girl turn it around bring it near   Let me show you a thing dat a done ya career      I'm fallin' faster now   You know you got me where you want   To late I cant slow down   No way we're ever gonna stop      I catch a rush boy whenever we touch I go crazy   I'm feelin' you baby   I dream like this boy whenever we kiss I can't take it   You know I can't fake it      I catch a rush boy whenever we touch I go crazy   I'm feelin' you baby   I dream like this boy whenever we kiss I can't take it   You know I can't fake it  "
18125,Roxette,Dangerous,/r/roxette/dangerous_20118781.html,"You pack your bag, you take control   You're moving into my heart and into my soul   Get out of my way! Get out of my sight!   I won't be walking on thin ice to get through the night   Hey where's your work? What's your game?   I know your business but I don't know your name...      [Chorus:]   Hold on tight, you know she's a little bit dangerous   She's got what it takes to make ends meet,   The eyes of a lover that hit like heat   You know she's a little bit dangerous      You turn around, so hot and dry,   You're hiding under a halo, your mouth is alive   Get out of my way! Get out of my sight!   I'm not attracted to go-go deeper tonight   Hey what's your word? What's your game?   I know your business but I don't know your name...      Hold on tight, you know she's a little bit dangerous   She's got what it takes to make ends meet,   The eyes of a lover that hit like heat   You know she's a little bit dangerous   Oh just a little bit dangerous...      Hey what's your word? What's your game?   I know your business but I don't know your name...      [Chorus]      [Chorus to Fade]  "
18613,Snoop Dogg,I Knew That,/s/snoop+dogg/i+knew+that_21098471.html,"[Chorus]   I knew that, I knew that   You were lookin' at me   That's when the blunt start rushing   I knew that, I knew that   You would leave your spot when you got hot   And you're goin' again   I love when you seein' she's goin' to the bathroom   Got 5 minutes to exchange them buds   No I'm not callin' you, what's your sign   I know your name, it must be under cover      [Verse 1]   Went out tonight, I think of my life   I'm sick and tired of rouge, yea   Then, threw caution to the wind cause F it, who cares   So tonight I'm gon' be      [Pre-Chorus] x2   Riding on your, riding on your   Riding on your wave girl   And I feel like, ooh      [Chorus]      [Verse 2]   Thinkin' to myself if I was a freaky dink   What's crackin' homie?   Ain't you ain't gonna see me in this club next week, no   So tonight' I'm gon' be      [Pre-Chorus]      [Chorus]      [Verse 3]   I'm hoping that you rest and you don't need to sleep   Don't be slacking homie   Grab me by the proof so I don't miss a beat   Baby, so tonight I'm gon' be      [Pre-Chorus]      [Chorus]  "
19355,Tina Turner,I Don't Wanna Lose You,/t/tina+turner/i+dont+wanna+lose+you_20137596.html,"Women of a certain age   They learn to rely and judge all his responses   Having played the mating game   She doesn't waste time cause all that she wants is   Really honest emotions   Ones he can't help but show   Though I hardly know your name   I know about love and I know      I don't want to lose you   I don't even want to say goodbye   I just want to hold on   To this true love, true love      Women who have made mistakes   Are a little afraid, they don't like taking chances   She will play the waiting game   She's never impressed by those manly advances   I know I've only just met you   Maybe I should know better   But when you look at me that way   There's something inside that's so right      I don't want to lose you   I don't even want to say goodbye   I just want to hold on   To this true love, true love   I don't want to lose you   And I always want to feel this way   Cause every time I'm with you   I feel true love, true love      Tell me you're real   You're not pretending   Let's make a deal   My heart's depending on you  "
20424,Utopia,Windows,/u/utopia/windows_20142668.html,You took that last corner too fast   Careened up against the side wall   For a moment everything went black   Woke up inside somebody else's hideaway in a distant place   Don't know your name or know this face   And what you don't know hurts you so   It can only be that way   Feel yourself becoming someone else   We may yet see that light at the end of the tunnel   If we can find a way to keep things under control   The web of life connects each of us to the other   So it's no use pretending that you alone run the show   Just like a moth too close to the fire explodes   Though the myth is exposed   You're still looking for windows in the sky   Supernatural paradise is the place you are looking for   All you need is a miracle divine   All that's left is you alone   Loneliness is all you own   Feel yourself becoming someone else  
21061,Warren Zevon,Similar To Rain,/w/warren+zevon/similar+to+rain_10185952.html,"Written by Warren Zevon 1995 Zevon Music BMI   Once upon a time these stories always start   There lived a handsome prince and he had a happy heart   And a princess, too--she was a beautiful kid   She said she'd never leave him but she did   Sometimes love is wet and cold   Similar to rain, just a hard to hold   Love can make you sad and blue   If you don't watch out it'll fall all over you   Everybody knows that winter can be nice   You can play in the snow, you can skate on the ice   But you can't skate far when the ice gets thin   'Cause you might fall in   Sometimes love is wet and cold   Similar to rain, just as hard to hold   Love can make you sad and blue   If you don't watch out it'll fall all over you   Gray skies everywhere   Storm clouds know your name   Sadness in the air   Feels like rain   Sometimes love is wet and cold   Similar to rain, just a hard to hold   Love can make you sad and blue   If you don't watch out it'll fall all over you       "
